qid,backend,question,generated_answer,reference_answer,correctness,lexical_faithfulness
q11,extractive,Why does a random forest reduce overfitting compared to a single decision tree?,"A random forest is an ensemble method that combines many decision trees to produce a more accurate and stable prediction than any single tree. Because individual trees tend to overfit but in different, somewhat random ways, averaging many of them cancels out much of that overfitting, substantially reducing variance compared to a single deep tree while keeping bias roughly the same.","It averages many trees trained on random bootstrap samples with random feature subsets, which cancels out the overfitting of any individual tree.",0.2857142857142857,1.0
q12,extractive,What's the difference between random forests and gradient boosting?,"Random assignment is what makes A/B tests a reliable way to establish causation rather than mere correlation, since it balances both observed and unobserved characteristics between groups on average. Gradient boosting is an ensemble technique that builds models sequentially, where each new model is trained to correct the errors made by the combination of all previous models.","Random forests build many independent trees in parallel and average them, while gradient boosting builds trees sequentially, each correcting the errors of the previous ones.",0.2894736842105263,1.0
q13,extractive,What assumption does propensity score matching rely on to give an unbiased estimate?,"Propensity score matching is a causal inference technique used to estimate a treatment effect from observational (non-randomized) data. Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does.",It assumes all relevant confounding variables were observed and included in the propensity model; unmeasured confounders still bias the result.,0.06557377049180327,1.0
q14,extractive,How does inverse probability weighting correct for confounding?,"Techniques like propensity score matching, inverse probability weighting, and regression adjustment attempt to correct for confounding in non-randomized data, but only for confounders that were actually measured. Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does.","It reweights each unit by the inverse of its probability of receiving the treatment it actually got, so the reweighted groups resemble each other on observed covariates.",0.1282051282051282,1.0
q15,extractive,What is a confounding variable?,"Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does. A confounding variable is a factor that influences both the treatment (or exposure) being studied and the outcome being measured, creating a spurious association between the two even if no true causal relationship exists.","A variable that influences both the treatment and the outcome, creating a spurious association between them even without a true causal effect.",0.41666666666666663,1.0
q16,extractive,Why is random assignment important in A/B testing?,"Random assignment is what makes A/B tests a reliable way to establish causation rather than mere correlation, since it balances both observed and unobserved characteristics between groups on average. A/B testing is a randomized experiment used to compare two or more versions of something, commonly a website, app feature, or marketing message, by randomly assigning users to each version and comparing an outcome metric, such as click-through rate or conversion rate.","Random assignment balances both measured and unmeasured confounders between groups on average, which is what allows a causal conclusion rather than just a correlation.",0.3146067415730337,1.0
q17,extractive,What does a p-value actually represent?,"A common but somewhat arbitrary threshold is 0.05: if the p-value falls below it, the result is called 'statistically significant.' A p-value is not the probability that the null hypothesis is true, and a statistically significant result is not automatically practically important; with a large enough sample size, even a tiny, meaningless effect can produce a very small p-value. Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does.","The probability of observing a result at least as extreme as what was found, assuming the null hypothesis is true. It is not the probability the null hypothesis itself is true.",0.25490196078431376,1.0
q18,extractive,What is a Type I error?,"A Type I error occurs when a statistical test incorrectly rejects a true null hypothesis, concluding there is an effect when there actually is not; this is also called a false positive. Increasing sample size generally increases power, reducing the Type II error rate, without changing the Type I error rate.","Incorrectly rejecting a true null hypothesis, i.e., concluding there's an effect when there actually isn't â€” a false positive.",0.36666666666666664,1.0
q19,extractive,What does the central limit theorem say?,"The central limit theorem states that the distribution of the sample mean of a sufficiently large number of independent, identically distributed random variables approaches a normal distribution, regardless of the shape of the underlying population distribution, as long as that distribution has finite variance. Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does.","The distribution of the sample mean approaches a normal distribution as sample size grows, regardless of the shape of the underlying population distribution.",0.3658536585365853,1.0
q20,extractive,What's the difference between standard deviation and standard error?,"Confidence intervals and statistical tests on means are built from the standard error, not the raw standard deviation, which is a common point of confusion. Standard error measures how much the sample mean itself would be expected to vary if you repeated the sampling process many times; it is calculated as the standard deviation divided by the square root of the sample size.","Standard deviation measures spread of individual data points; standard error measures how much the sample mean itself would vary across repeated samples, and shrinks as sample size grows.",0.43902439024390244,1.0
q21,extractive,What does PCA do to a dataset?,"Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does. The transformer is a neural network architecture built around the attention mechanism, which allows the model to weigh the relevance of every other token in a sequence when processing a given token, rather than processing tokens strictly in order as recurrent networks do.",It transforms correlated features into a smaller set of uncorrelated components ordered by how much variance each one captures.,0.04938271604938271,1.0
q22,extractive,How do you choose the number of clusters in k-means?,"The number of clusters, k, must be chosen in advance; common methods for choosing it include the elbow method, which plots within-cluster variance against k and looks for a bend, or the silhouette score, which measures how well-separated clusters are. K-means assumes clusters are roughly spherical and similarly sized, and can perform poorly on clusters with irregular shapes or very different sizes.","Common methods include the elbow method, looking for a bend in a plot of variance versus k, or the silhouette score, which measures cluster separation.",0.40506329113924044,1.0
q23,extractive,Why do neural networks need non-linear activation functions?,"Without a non-linear activation function, stacking layers would be mathematically equivalent to a single linear transformation, no matter how many layers were added, which is why non-linearity is essential for a network to learn complex patterns. Each neuron computes a weighted sum of its inputs, adds a bias term, and passes the result through a non-linear activation function, such as ReLU or sigmoid, before passing it to the next layer.","Without non-linearity, stacking layers would be mathematically equivalent to one linear transformation no matter how many layers you add.",0.3950617283950617,1.0
q24,extractive,What problem does backpropagation solve?,"Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does. Backpropagation is the algorithm used to efficiently compute the gradient of a neural network's loss function with respect to every weight in the network, which is what gradient descent needs in order to update those weights.","It efficiently computes the gradient of the loss with respect to every weight in a network using the chain rule, which gradient descent needs to update the weights.",0.4390243902439025,1.0
q25,extractive,Why are CNNs well suited for image data?,"A convolutional neural network (CNN) is a neural network architecture designed primarily for image and grid-like data. Unlike Euclidean distance, cosine similarity ignores the magnitude of the vectors entirely and only considers their direction, which makes it well suited for comparing text represented as TF-IDF or embedding vectors, since a long document and a short document discussing the same topic should be considered similar even though the long document's vector has a much larger magnitude.","Convolutional filters detect local patterns like edges regardless of where they appear in the image, with far fewer parameters than a fully connected layer.",0.06818181818181818,1.0
q26,extractive,What problem do LSTMs solve that plain RNNs struggle with?,"Plain RNNs struggle to learn long-range dependencies because gradients tend to vanish or explode as they are propagated back through many time steps. Long short-term memory networks (LSTMs) address this with a more complex internal structure involving gates that explicitly control what information is added to, removed from, or read from the cell's memory at each step, allowing the network to retain relevant information over much longer sequences.","LSTMs use gates to control what information is kept or discarded, letting them retain relevant information over much longer sequences than plain RNNs, which suffer from vanishing gradients.",0.4086021505376344,1.0
q27,extractive,What is the attention mechanism used for in transformers?,"The transformer is a neural network architecture built around the attention mechanism, which allows the model to weigh the relevance of every other token in a sequence when processing a given token, rather than processing tokens strictly in order as recurrent networks do. Inverse document frequency down-weights words that appear in many documents across the collection, on the logic that a word appearing in almost every document carries little information about what makes any particular document distinctive; conversely, a word that appears in few documents but appears often in one of them is a strong signal that document is specifically about that topic.","It lets the model weigh the relevance of every other token in a sequence when processing a given token, instead of processing strictly in order.",0.32142857142857134,1.0
q28,extractive,Why are contextual embeddings better than Word2Vec for words with multiple meanings?,"This is a limitation for words with multiple meanings. Word embeddings are dense vector representations of words, designed so that words with similar meanings or usage patterns end up close together in the resulting vector space, and relationships between words are reflected in geometric relationships between vectors.","Word2Vec assigns one fixed vector per word regardless of context, while contextual embeddings produce a different vector depending on the surrounding sentence.",0.15384615384615383,1.0
q29,extractive,What are BERT's two pretraining objectives?,"BERT (Bidirectional Encoder Representations from Transformers) is a transformer-based language model designed to produce rich contextual representations of text, pretrained on a large amount of unlabeled text using two objectives: predicting randomly masked words within a sentence using context from both directions, and predicting whether two sentences originally followed each other in the source text. Unlike BERT's bidirectional masked-word objective, GPT models are trained purely left-to-right: predict the next word, given everything before it, repeated across enormous amounts of text.","Predicting randomly masked words using context from both directions, and predicting whether two sentences originally followed each other.",0.3870967741935484,1.0
q30,extractive,How does GPT's training objective differ from BERT's?,"Unlike BERT's bidirectional masked-word objective, GPT models are trained purely left-to-right: predict the next word, given everything before it, repeated across enormous amounts of text. The 'bidirectional' part is key: unlike earlier left-to-right language models, BERT's masked-word prediction task lets it use context from both before and after a given word.","GPT is trained purely left-to-right to predict the next token given everything before it, while BERT predicts masked words using context from both directions.",0.39436619718309857,1.0
q31,extractive,What problem does retrieval-augmented generation solve for language models?,"Retrieval-augmented generation is an approach for answering questions or generating text using a large language model combined with an external knowledge source, rather than relying solely on what the model memorized during training. The 'bidirectional' part is key: unlike earlier left-to-right language models, BERT's masked-word prediction task lets it use context from both before and after a given word.","It grounds a language model's answers in retrieved external documents rather than relying solely on memorized training data, which reduces hallucination and lets knowledge be updated without retraining.",0.3499999999999999,1.0
q32,extractive,How does BM25 account for document length when ranking?,"TF-IDF is a precursor to and conceptually related to BM25, though BM25 generally performs better in practice for ranking search results. BM25 is a ranking function used in information retrieval to score how relevant a document is to a search query, based on the frequency of query terms appearing in the document.",It normalizes scores so that longer documents aren't favored just for containing more word occurrences overall.,0.03225806451612903,1.0
q33,extractive,What does inverse document frequency do in TF-IDF?,"TF-IDF (term frequency-inverse document frequency) is a numerical statistic used to measure how important a word is to a specific document within a larger collection of documents. Inverse document frequency down-weights words that appear in many documents across the collection, on the logic that a word appearing in almost every document carries little information about what makes any particular document distinctive; conversely, a word that appears in few documents but appears often in one of them is a strong signal that document is specifically about that topic.","It down-weights words that appear in many documents across the collection, since they carry little information about what makes any one document distinctive.",0.36000000000000004,1.0
q34,extractive,Why use cosine similarity instead of Euclidean distance for comparing text vectors?,"Unlike Euclidean distance, cosine similarity ignores the magnitude of the vectors entirely and only considers their direction, which makes it well suited for comparing text represented as TF-IDF or embedding vectors, since a long document and a short document discussing the same topic should be considered similar even though the long document's vector has a much larger magnitude. Cosine similarity measures how similar two vectors are by computing the cosine of the angle between them, calculated as their dot product divided by the product of their magnitudes.","Cosine similarity ignores vector magnitude and only considers direction, so a long and a short document on the same topic can still be judged similar.",0.3434343434343434,1.0
q35,extractive,What does the area under a ROC curve represent?,"AUC, the area under that curve, summarizes the curve in a single number ranging from 0.5 (no better than random guessing) to 1.0 (perfect separation between classes). Inverse probability weighting (IPW) is a causal inference technique that corrects for confounding by reweighting observations rather than discarding any of them, which is what matching often does.","A single number summarizing a classifier's true-positive vs false-positive tradeoff across all thresholds, ranging from 0.5 (random) to 1.0 (perfect separation).",0.2857142857142857,1.0
q36,extractive,What can you calculate directly from a confusion matrix?,"Precision, recall, F1 score, and accuracy can all be derived directly from the four values in this table. A confusion matrix is a table summarizing the performance of a classification model by cross-tabulating predicted labels against actual labels.","Precision, recall, F1 score, and accuracy can all be derived from the four counts in a confusion matrix.",0.6122448979591837,1.0
q37,extractive,Why is accuracy a misleading metric for imbalanced datasets?,"Standard accuracy is a misleading metric on imbalanced data, since a model that simply predicts the majority class every time can achieve very high accuracy while being completely useless for the actual task. Without a non-linear activation function, stacking layers would be mathematically equivalent to a single linear transformation, no matter how many layers were added, which is why non-linearity is essential for a network to learn complex patterns.",A model that always predicts the majority class can score very high accuracy while being completely useless for detecting the rare class.,0.345679012345679,1.0
q38,extractive,Why can't you use a normal random train-test split for time series data?,"A critical practice in evaluating any time series model is using walk-forward validation rather than a standard random train-test split, since randomly shuffling time-ordered data would let the model train on future information not actually available at prediction time. For time series data, standard k-fold is inappropriate because it can leak future information into training; a walk-forward or time-based split should be used instead.","Random shuffling would let the model train on future information that wouldn't actually be available at prediction time, so a time-based or walk-forward split is needed instead.",0.49411764705882355,1.0
h01,extractive,My model nails the practice problems but bombs on the real exam â€” what's going on?,"Underfitting happens when a model is too simple to capture the real pattern in the data, resulting in high error on both the training set and the test set. The quality of a RAG system depends heavily on the quality of the retriever, since the language model can only be as accurate as the context it is given.","This describes overfitting: the model learned patterns specific to its training data, including noise, rather than the underlying relationship that generalizes to new data.",0.11594202898550723,1.0
h02,extractive,"If two things rise and fall together in the data, does that prove one is causing the other?","A confounding variable is a factor that influences both the treatment (or exposure) being studied and the outcome being measured, creating a spurious association between the two even if no true causal relationship exists. Common strategies include using metrics other than accuracy, such as precision, recall, F1, or AUC; adjusting the classification threshold; and resampling the training data, either by undersampling the majority class or oversampling the minority class.","No â€” a confounding variable could be influencing both, creating a spurious association even when there is no real causal effect between them.",0.27499999999999997,1.0
h03,extractive,How do modern language models figure out which earlier words in a sentence matter most for understanding a later word?,"Transformers are the architecture behind most modern large language models, including BERT and GPT. Contextual embeddings, produced by models like BERT, instead generate a different vector for a word depending on the surrounding sentence, allowing the same word to be represented differently depending on which meaning is intended in that specific context.","Through self-attention, which computes a weighted combination of all other tokens' representations based on how relevant each pair of tokens is to each other.",0.11428571428571427,1.0
h04,extractive,"If 99% of transactions are normal and 1% are fraud, why might a model that just always guesses 'normal' look great on paper?","Confounding is the central problem that distinguishes correlation from causation, and is the reason randomized experiments are considered the gold standard for causal claims: random assignment ensures that, on average, treatment and control groups are balanced on all confounders, measured or not. An imbalanced dataset is one where the classes being predicted are not represented in roughly equal proportions, such as fraud detection, where fraudulent transactions might make up far less than one percent of all transactions.","On a heavily imbalanced dataset, always predicting the majority class can achieve very high accuracy while being completely useless at catching the rare class.",0.08602150537634409,1.0
h05,extractive,"Why does making a model more flexible to fit the training data sometimes hurt it on new data, while making it too rigid also hurts?","Overfitting happens when a model learns patterns specific to its training data, including noise and random fluctuations, rather than the underlying relationship that generalizes to new data. Common causes include a model that is too complex relative to the amount of training data, training for too many iterations, or too many input features relative to the number of examples.","This is the bias-variance tradeoff: simple, rigid models have high bias and underfit, while overly flexible models have high variance and overfit; total error is minimized somewhere in between.",0.04878048780487805,1.0
h06,extractive,What's a classic way search engines decide how important a rare word is when ranking documents?,"TF-IDF (term frequency-inverse document frequency) is a numerical statistic used to measure how important a word is to a specific document within a larger collection of documents. BM25 is a ranking function used in information retrieval to score how relevant a document is to a search query, based on the frequency of query terms appearing in the document.","Rare words across the collection are weighted more heavily, an idea used in both TF-IDF's inverse document frequency and BM25's term weighting.",0.17391304347826086,1.0
h07,extractive,"When training a model step by step toward better performance, what happens if each adjustment is too large?","The size of that step is controlled by the learning rate: too large and the algorithm can overshoot the minimum or diverge; too small and training becomes very slow. Underfitting happens when a model is too simple to capture the real pattern in the data, resulting in high error on both the training set and the test set.",Too large a learning rate in gradient descent can cause the optimization to overshoot the minimum or even diverge entirely.,0.33333333333333337,1.0
h08,extractive,"What's a fair way to test how well a model will work on data you haven't collected yet, using only what you already have?","Cross-validation is a technique for estimating how well a model will generalize to unseen data, using only the training set. Random assignment is what makes A/B tests a reliable way to establish causation rather than mere correlation, since it balances both observed and unobserved characteristics between groups on average.",Cross-validation: repeatedly splitting the available data into training and held-out portions to estimate generalization performance without needing new data.,0.15873015873015872,1.0
h09,extractive,"How can a language model answer questions about things that happened after it finished training, without retraining it?","A decision tree is a model that makes predictions by asking a sequence of yes/no questions about input features, splitting the data into smaller and smaller groups until reaching a final prediction at a leaf node. Given a query, a retriever first searches a document collection for the passages most relevant to that query, then those passages are inserted into the language model's prompt as context, and the model generates its answer grounded in that retrieved text.","Retrieval-augmented generation lets the model pull in relevant external documents at query time and ground its answer in them, so knowledge can be updated without retraining.",0.17777777777777778,1.0
h10,extractive,Why might the same word need a different numeric representation depending on the sentence it appears in?,"Contextual embeddings, produced by models like BERT, instead generate a different vector for a word depending on the surrounding sentence, allowing the same word to be represented differently depending on which meaning is intended in that specific context. Inverse document frequency down-weights words that appear in many documents across the collection, on the logic that a word appearing in almost every document carries little information about what makes any particular document distinctive; conversely, a word that appears in few documents but appears often in one of them is a strong signal that document is specifically about that topic.","Because words can have multiple meanings; contextual embeddings produce a different vector for a word depending on its surrounding context, unlike fixed embeddings like Word2Vec.",0.21428571428571427,1.0
